Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16
284.3867007,X1-1,X2-2,X3-1,X4-1,X5-8,0.135526464,138,102,50,11.1,11.1,0.63,44,120,59,0.6
270.0601634,X1-1,X2-2,X3-1,X4-1,X5-8,0.1358985,138,102,50,11.1,11.1,0.63,44,120,59,0.6
280.7861085,X1-1,X2-2,X3-1,X4-1,X5-8,0.136550363,138,102,50,11.1,11.1,0.63,44,120,59,0.6
285.0214097,X1-1,X2-2,X3-1,X4-1,X5-8,0.139221712,138,102,50,11.1,11.1,0.63,44,120,59,0.6
270.7664635,X1-1,X2-2,X3-1,X4-1,X5-8,0.141712806,138,102,50,11.1,11.1,0.63,44,120,59,0.6
284.2790445,X1-1,X2-2,X3-1,X4-1,X5-8,0.147236642,138,102,50,11.1,11.1,0.63,44,120,59,0.6
281.9802992,X1-1,X2-2,X3-1,X4-1,X5-8,0.153597564,138,102,50,11.1,11.1,0.63,44,120,59,0.6
273.8834799,X1-1,X2-2,X3-1,X4-1,X5-8,0.167224802,294,298,150,8.9,11.8,0.84,16,126,24,0.6
282.7267296,X1-1,X2-2,X3-1,X4-1,X5-8,0.170812064,138,102,50,11.1,11.1,0.63,44,120,59,0.6
0.489958176,X1-1,X2-2,X3-1,X4-1,X5-8,0.404406561,294,298,150,8.9,11.8,0.86,16,126,24,0.6
257.2408446,X1-1,X2-2,X3-2,X4-1,X5-8,0.11493279,139,51,50,16,3.7,1,34,238,29,0.6
262.4056611,X1-1,X2-2,X3-2,X4-1,X5-8,0.129198112,138,102,50,11.1,11.1,0.63,44,120,59,0.6
261.4582568,X1-1,X2-2,X3-2,X4-1,X5-8,0.131137505,138,102,50,11.1,11.1,0.63,44,120,59,0.6
261.2483443,X1-1,X2-2,X3-2,X4-1,X5-8,0.131963494,138,102,50,11.1,11.1,0.63,44,120,59,0.6
263.2004431,X1-1,X2-2,X3-2,X4-1,X5-8,0.132640878,138,102,50,11.1,11.1,0.63,44,120,59,0.6
265.7321531,X1-1,X2-2,X3-2,X4-1,X5-8,0.133388579,138,102,50,11.1,11.1,0.63,44,120,59,0.6
272.0360055,X1-1,X2-2,X3-2,X4-1,X5-8,0.134001241,138,102,50,11.1,11.1,0.63,44,120,59,0.6
263.0846045,X1-1,X2-2,X3-2,X4-1,X5-8,0.144283787,138,102,50,11.1,11.1,0.63,44,120,32,0.6
263.0846045,X1-1,X2-2,X3-2,X4-1,X5-8,0.144283787,138,102,50,11.1,11.1,0.63,44,120,59,0.6
